product_id,skin_type
P446938,dry
P446938,oily
P164932,combination
P164932,dry
P164932,oily
P164932,normal
P443845,combination
P443845,dry
P443845,normal
P443845,oily
P475908,dry
P475908,oily
P475908,combination
P475908,normal
P472454,normal
P472454,oily
P472454,dry
P472454,combination
P434548,combination
P434548,dry
P434548,normal
P434548,oily
P400207,combination
P400207,oily
P400207,dry
P400207,normal
P428819,combination
P428819,dry
P428819,normal
P428819,oily
P462699,combination
P462699,oily
P462699,normal
P462699,dry
P403818,combination
P403818,oily
P403818,dry
P403818,normal
P500718,combination
P500718,dry
P500718,normal
P500718,oily
P447791,oily
P447791,normal
P447791,combination
P447791,dry
P500633,combination
P500633,normal
P500633,oily
P500633,dry
P446930,normal
P446930,dry
P446930,combination
P446930,oily
P392235,dry
P392235,combination
P392235,normal
P392235,oily
P460512,normal
P460512,dry
P460512,oily
P460512,combination
P415701,combination
P415701,normal
P415701,dry
P415701,oily
P415237,combination
P415237,dry
P415237,normal
P415237,oily
P471237,dry
P471237,combination
P471237,normal
P471237,oily
P500701,normal
P500701,dry
P500701,oily
P500701,combination
P418346,combination
P418346,normal
P418346,oily
P418346,dry
P448207,normal
P448207,combination
P448207,oily
P448207,dry
P405599,combination
P405599,dry
P405599,oily
P405599,normal
P468351,dry
P468351,combination
P468351,oily
P468351,normal
P426340,combination
P426340,oily
P426340,dry
P426340,normal
P476414,combination
P476414,dry
P476414,oily
P476414,normal
P297517,dry
P297517,combination
P297517,oily
P297517,normal
P440312,combination
P440312,oily
P440312,normal
P440312,dry
P12045,combination
P12045,dry
P12045,oily
P12045,normal
P377561,combination
P377561,normal
P377561,dry
P377561,oily
P450917,combination
P450917,normal
P450917,dry
P450917,oily
P424948,combination
P424948,dry
P424948,normal
P424948,oily
P416816,combination
P416816,oily
P416816,dry
P416816,normal
P453253,dry
P453253,combination
P453253,normal
P453253,oily
P411388,dry
P411388,combination
P411388,oily
P411388,normal
P473267,combination
P473267,dry
P473267,normal
P473267,oily
P422000,combination
P422000,dry
P422000,normal
P422000,oily
P392245,combination
P392245,dry
